Year,Month,percent,regionId,date,regionName,
1905,Apr,-0.31,1,1905 Apr,Global,
1905,May,-0.33,1,1905 May,Global,
1905,Jun,-0.29,1,1905 Jun,Global,
1905,Jul,-0.42,1,1905 Jul,Global,
1905,Aug,-0.25,1,1905 Aug,Global,
1905,Sep,-0.2,1,1905 Sep,Global,
1905,Oct,-0.36,1,1905 Oct,Global,
1905,Nov,-0.07,1,1905 Nov,Global,
1905,Dec,-0.25,1,1905 Dec,Global,
1906,Jan,-0.15,1,1906 Jan,Global,
1906,Feb,-0.3,1,1906 Feb,Global,
1906,Mar,-0.32,1,1906 Mar,Global,
1906,Apr,0.06,1,1906 Apr,Global,
1906,May,-0.18,1,1906 May,Global,
1906,Jun,-0.21,1,1906 Jun,Global,
1906,Jul,-0.19,1,1906 Jul,Global,
1906,Aug,-0.15,1,1906 Aug,Global,
1906,Sep,-0.29,1,1906 Sep,Global,
1906,Oct,-0.17,1,1906 Oct,Global,
1906,Nov,-0.52,1,1906 Nov,Global,
1906,Dec,-0.25,1,1906 Dec,Global,
1907,Jan,-0.48,1,1907 Jan,Global,
1907,Feb,-0.65,1,1907 Feb,Global,
1907,Mar,-0.46,1,1907 Mar,Global,
1907,Apr,-0.59,1,1907 Apr,Global,
1907,May,-0.58,1,1907 May,Global,
1907,Jun,-0.65,1,1907 Jun,Global,
1907,Jul,-0.41,1,1907 Jul,Global,
1907,Aug,-0.52,1,1907 Aug,Global,
1907,Sep,-0.37,1,1907 Sep,Global,
1907,Oct,-0.31,1,1907 Oct,Global,
1907,Nov,-0.57,1,1907 Nov,Global,
1907,Dec,-0.64,1,1907 Dec,Global,
1908,Jan,-0.36,1,1908 Jan,Global,
1908,Feb,-0.3,1,1908 Feb,Global,
1908,Mar,-0.49,1,1908 Mar,Global,
1908,Apr,-0.44,1,1908 Apr,Global,
1908,May,-0.31,1,1908 May,Global,
1908,Jun,-0.41,1,1908 Jun,Global,
1908,Jul,-0.37,1,1908 Jul,Global,
1908,Aug,-0.36,1,1908 Aug,Global,
1908,Sep,-0.14,1,1908 Sep,Global,
1908,Oct,-0.37,1,1908 Oct,Global,
1908,Nov,-0.56,1,1908 Nov,Global,
1908,Dec,-0.38,1,1908 Dec,Global,
1909,Jan,-0.76,1,1909 Jan,Global,
1909,Feb,-0.56,1,1909 Feb,Global,
1909,Mar,-0.47,1,1909 Mar,Global,
1909,Apr,-0.59,1,1909 Apr,Global,
1909,May,-0.57,1,1909 May,Global,
1909,Jun,-0.4,1,1909 Jun,Global,
1909,Jul,-0.32,1,1909 Jul,Global,
1909,Aug,-0.07,1,1909 Aug,Global,
1909,Sep,-0.15,1,1909 Sep,Global,
1909,Oct,-0.14,1,1909 Oct,Global,
1909,Nov,-0.11,1,1909 Nov,Global,
1909,Dec,-0.53,1,1909 Dec,Global,
1910,Jan,-0.43,1,1910 Jan,Global,
1910,Feb,-0.36,1,1910 Feb,Global,
1910,Mar,-0.43,1,1910 Mar,Global,
1910,Apr,-0.26,1,1910 Apr,Global,
1910,May,-0.22,1,1910 May,Global,
1910,Jun,-0.31,1,1910 Jun,Global,
1910,Jul,-0.2,1,1910 Jul,Global,
1910,Aug,-0.1,1,1910 Aug,Global,
1910,Sep,-0.07,1,1910 Sep,Global,
1910,Oct,-0.27,1,1910 Oct,Global,
1910,Nov,-0.51,1,1910 Nov,Global,
1910,Dec,-0.63,1,1910 Dec,Global,
1911,Jan,-0.65,1,1911 Jan,Global,
1911,Feb,-0.64,1,1911 Feb,Global,
1911,Mar,-0.6,1,1911 Mar,Global,
1911,Apr,-0.51,1,1911 Apr,Global,
1911,May,-0.37,1,1911 May,Global,
1911,Jun,-0.36,1,1911 Jun,Global,
1911,Jul,-0.14,1,1911 Jul,Global,
1911,Aug,-0.23,1,1911 Aug,Global,
1911,Sep,-0.24,1,1911 Sep,Global,
1911,Oct,-0.16,1,1911 Oct,Global,
1911,Nov,-0.12,1,1911 Nov,Global,
1911,Dec,-0.23,1,1911 Dec,Global,
1912,Jan,-0.16,1,1912 Jan,Global,
1912,Feb,-0.1,1,1912 Feb,Global,
1912,Mar,-0.41,1,1912 Mar,Global,
1912,Apr,-0.28,1,1912 Apr,Global,
1912,May,-0.18,1,1912 May,Global,
1912,Jun,-0.24,1,1912 Jun,Global,
1912,Jul,-0.48,1,1912 Jul,Global,
1912,Aug,-0.61,1,1912 Aug,Global,
1912,Sep,-0.34,1,1912 Sep,Global,
1912,Oct,-0.45,1,1912 Oct,Global,
1912,Nov,-0.4,1,1912 Nov,Global,
1912,Dec,-0.32,1,1912 Dec,Global,
1913,Jan,-0.44,1,1913 Jan,Global,
1913,Feb,-0.49,1,1913 Feb,Global,
1913,Mar,-0.57,1,1913 Mar,Global,
1913,Apr,-0.29,1,1913 Apr,Global,
1913,May,-0.62,1,1913 May,Global,
1913,Jun,-0.6,1,1913 Jun,Global,
1913,Jul,-0.21,1,1913 Jul,Global,
1913,Aug,-0.19,1,1913 Aug,Global,
1913,Sep,-0.19,1,1913 Sep,Global,
1913,Oct,-0.28,1,1913 Oct,Global,
1913,Nov,-0.13,1,1913 Nov,Global,
1913,Dec,0.07,1,1913 Dec,Global,
1914,Jan,0.16,1,1914 Jan,Global,
1914,Feb,-0.03,1,1914 Feb,Global,
1914,Mar,-0.04,1,1914 Mar,Global,
1914,Apr,-0.19,1,1914 Apr,Global,
1914,May,-0.02,1,1914 May,Global,
1914,Jun,-0.1,1,1914 Jun,Global,
1914,Jul,-0.22,1,1914 Jul,Global,
1914,Aug,-0.07,1,1914 Aug,Global,
1914,Sep,-0.06,1,1914 Sep,Global,
1914,Oct,0.14,1,1914 Oct,Global,
