Year,Month,percent,regionId,date,regionName
1908,Jan,-36,1,1908 Jan,Global
1908,Feb,-30,1,1908 Feb,Global
1908,Mar,-49,1,1908 Mar,Global
1908,Apr,-44,1,1908 Apr,Global
1908,May,-31,1,1908 May,Global
1908,Jun,-41,1,1908 Jun,Global
1908,Jul,-37,1,1908 Jul,Global
1908,Aug,-36,1,1908 Aug,Global
1908,Sep,-14,1,1908 Sep,Global
1908,Oct,-37,1,1908 Oct,Global
1908,Nov,-56,1,1908 Nov,Global
1908,Dec,-38,1,1908 Dec,Global
1909,Jan,-76,1,1909 Jan,Global
1909,Feb,-56,1,1909 Feb,Global
1909,Mar,-47,1,1909 Mar,Global
1909,Apr,-59,1,1909 Apr,Global
1909,May,-57,1,1909 May,Global
1909,Jun,-40,1,1909 Jun,Global
1909,Jul,-32,1,1909 Jul,Global
1909,Aug,-7,1,1909 Aug,Global
1909,Sep,-15,1,1909 Sep,Global
1909,Oct,-14,1,1909 Oct,Global
1909,Nov,-11,1,1909 Nov,Global
1909,Dec,-53,1,1909 Dec,Global
1910,Jan,-43,1,1910 Jan,Global
1910,Feb,-36,1,1910 Feb,Global
1910,Mar,-43,1,1910 Mar,Global
1910,Apr,-26,1,1910 Apr,Global
1910,May,-22,1,1910 May,Global
1910,Jun,-31,1,1910 Jun,Global
1910,Jul,-20,1,1910 Jul,Global
1910,Aug,-10,1,1910 Aug,Global
1910,Sep,-7,1,1910 Sep,Global
1910,Oct,-27,1,1910 Oct,Global
1910,Nov,-51,1,1910 Nov,Global
1910,Dec,-63,1,1910 Dec,Global
1911,Jan,-65,1,1911 Jan,Global
1911,Feb,-64,1,1911 Feb,Global
1911,Mar,-60,1,1911 Mar,Global
1911,Apr,-51,1,1911 Apr,Global
1911,May,-37,1,1911 May,Global
1911,Jun,-36,1,1911 Jun,Global
1911,Jul,-14,1,1911 Jul,Global
1911,Aug,-23,1,1911 Aug,Global
1911,Sep,-24,1,1911 Sep,Global
1911,Oct,-16,1,1911 Oct,Global
1911,Nov,-12,1,1911 Nov,Global
1911,Dec,-23,1,1911 Dec,Global
1912,Jan,-16,1,1912 Jan,Global
1912,Feb,-10,1,1912 Feb,Global
1912,Mar,-41,1,1912 Mar,Global
